project;vcsName;commitDate;commitHash;tickets;hasFixedTicket
RAMPART;git;2016-01-18;5fb4ff24dd84a7cf721492db152c45c44cd759a7;[];false
RAMPART;git;2016-01-18;237f12548318b91e3725b9f0150dd7e133e3fde8;[];false
RAMPART;git;2016-01-18;345732189509583ab3ffb0371bbed825a02c2c5d;[];false
RAMPART;git;2016-01-19;18a6bbcf09fd8608c45260a7ecd5afe61e7093f5;[];false
RAMPART;git;2016-01-19;aa342a0da3d9b1edf4bdce0326829ff457c9293d;[];false
RAMPART;git;2016-01-19;fa8deecfea74447642e2580d613efc7c5905b471;[];false
RAMPART;git;2016-01-19;2a1c60ac9750a0afee7c0834d7f8631b7fe93c93;[];false
RAMPART;git;2016-01-19;313686b6eeeddcef3dd49875c20ee048c7180a6a;[];false
RAMPART;git;2016-01-19;421e77da9dc48c58892201ace4485978434d4d87;[];false
RAMPART;git;2016-01-19;4d7a0fdb17260e388dc53e53a077f61d2be4a1bb;[];false
RAMPART;git;2016-01-19;156bf2eee7304bd8a82f4a784fc68c4e4fcb516a;[];false
RAMPART;git;2016-01-20;3b5fb174551e7a855c464a6960b26409cf09cd35;[];false
RAMPART;git;2016-01-22;69851b987916a79e059ebc598236bb57a3b790e8;[];false
RAMPART;git;2016-01-24;54d9f828768a2f7c35f8fa25e2b0e1991851adb4;[];false
RAMPART;git;2016-01-24;304ecf2a5daf52bb8a3a10edc7d50545c18564ca;[];false
RAMPART;git;2016-01-24;f5d3b3e4ea606c0f198797c66738e9d667ad53fc;[];false
RAMPART;git;2016-01-24;20a2be49a5171c6bf034fd36fa2e922eac5504af;[];false
RAMPART;git;2016-01-24;aeea3eaa8f63cef5ef67452954a9ae32b3c9097c;[];false
RAMPART;git;2016-01-24;eaabd12ced92492fdd28737a0dba41dcb3a71427;[];false
RAMPART;git;2016-01-24;85c5a19c87685a5681b9c1ddf3796cbb8884fd26;[];false
RAMPART;git;2016-02-01;da64077a9fccde338931578c8dcff2af8b089da3;[];false
RAMPART;git;2016-02-13;9f9b8b88a1cf16c851236ea30be8a7c1ed9122e1;[];false
RAMPART;git;2016-02-15;d385cebf22d4b7e9ff12fdec9aa1a23a68c850fe;[];false
RAMPART;git;2016-02-21;280c41b582f6019327712a0599705caf847113d8;[];false
RAMPART;git;2016-04-21;0309d5aa482c7803c24f8963b6f8e27f78c373e0;[];false
RAMPART;git;2016-05-08;8b3d69463813349756af248ed47d87b488c82b1f;[];false
RAMPART;git;2016-08-08;a398d0677b457e1cbe21649b9cbeea4440e462e8;[];false
RAMPART;git;2017-01-08;1e78431c5e2e3877025a1a5d42ad69d34e2883f4;[];false
RAMPART;git;2017-01-10;087b6437464088f4b726de3a914c06ce59de71e9;[];false
RAMPART;git;2017-01-10;441628212244f273300d2fea540a44edba810634;[];false
RAMPART;git;2017-01-10;2ca3dfd617b6c3d436da716c7167d423096f32ab;[];false
RAMPART;git;2017-01-10;54a899646566a9edf7d4fd85388772c6a005cd1d;[];false
RAMPART;git;2017-01-10;4f3a907c1e68fa13a9beefa8d035215d0e8fd6c2;[];false
RAMPART;git;2017-01-10;e62148c6e0057cf7204e7728b67b2a690b19c625;[];false
RAMPART;git;2017-01-10;d3c1252a6282930fa88e168e9b1ea289c8b9c966;[];false
RAMPART;git;2017-01-10;4a0c10f7c234045f5c787fbf166791c952ae9b6f;[];false
RAMPART;git;2017-01-10;a4d17d9cea814e3c34377ad9765d60dc5233a679;[];false
RAMPART;git;2017-01-14;06c51fd2b929e1c5f97220efbcb8d11fee37f326;[];false
RAMPART;git;2017-01-14;e2529bbb6f9cf78fffff5b0b1cb6ee2228c42f5f;[RAMPART-417, RAMPART-433, RAMPART-433];true
RAMPART;git;2017-01-14;4adf3c1d4d321c0329f34edd8ee2c867b94967b3;[RAMPART-433, RAMPART-417, RAMPART-433];true
RAMPART;git;2017-01-14;806f380abb15447cd7e34680d649d82abf5cfec7;[RAMPART-433];true
RAMPART;git;2017-01-14;bbb1737d2791496b383df3bda622bb9e4288de49;[RAMPART-433];true
RAMPART;git;2017-01-14;9aaca01c5d3b4d3213a1c747f1f4dac4590cadec;[RAMPART-433];true
RAMPART;git;2017-01-14;f18e69388eff5da3bab97589d21cdefd17b28bd1;[];false
RAMPART;git;2017-01-14;5b52a0a3c003feaa0af4a0da0ee411cc9e80bfc8;[];false
